,MSE,ACCURACY
0,15.66509954797874,84.33490045202126
1,11.074969999886438,88.92503000011357
2,9.131173292406775,90.86882670759321
3,8.110436486097749,91.88956351390225
4,7.679612357116844,92.32038764288315
5,7.575877783155197,92.42412221684481
6,7.69220351042472,92.30779648957528
7,7.891298227987396,92.10870177201261
8,7.953851671120514,92.04614832887948
9,7.996179228773574,92.00382077122643
10,8.004337158274828,91.99566284172516
11,8.040384598210238,91.95961540178976
12,7.967388257085818,92.03261174291418
13,7.913777938118457,92.08622206188154
14,7.82410759290021,92.1758924070998
15,7.75440381581817,92.24559618418184
16,7.684076493699625,92.31592350630038
17,7.584850472883032,92.41514952711697
18,7.530161538136512,92.46983846186349
19,7.435666844186286,92.56433315581371
20,7.35119575550876,92.64880424449125
21,7.315393435192534,92.68460656480747
22,7.246303443282752,92.75369655671724
23,7.171391613743973,92.82860838625602
24,7.093571392530327,92.90642860746968
25,7.038304196766501,92.9616958032335
26,6.973868634073424,93.02613136592657
27,6.926435027728142,93.07356497227187
28,6.88344253389537,93.11655746610464
29,6.82483484351893,93.17516515648107
30,6.773008152581631,93.22699184741838
31,6.73504526945385,93.26495473054615
32,6.658040181648642,93.34195981835136
33,6.614593975199156,93.38540602480084
34,6.57323973122119,93.4267602687788
35,6.517595185143449,93.48240481485655
36,6.48138824261445,93.51861175738556
37,6.433822647089404,93.5661773529106
38,6.414810777377941,93.58518922262206
39,6.371469689979178,93.62853031002082
40,6.313975764851573,93.68602423514842
41,6.290311715539095,93.7096882844609
42,6.239603419952483,93.76039658004751
43,6.209108554698911,93.79089144530109
44,6.160518217741764,93.83948178225823
45,6.114383615333825,93.88561638466616
46,6.087561196065164,93.91243880393483
47,6.056096007651901,93.9439039923481
48,6.01843163494971,93.9815683650503
49,5.997700124369483,94.00229987563051
50,5.96271453065537,94.03728546934464
51,5.920287824834906,94.0797121751651
52,5.887843154920989,94.11215684507901
53,5.877023197746314,94.12297680225369
54,5.841600146620151,94.15839985337985
55,5.8084783876319435,94.19152161236806
56,5.768500985614592,94.2314990143854
57,5.7476647146208695,94.25233528537913
58,5.722167025752952,94.27783297424705
59,5.679761022984209,94.32023897701579
60,5.6545451749181295,94.34545482508187
61,5.637781824777073,94.36221817522292
62,5.617134717600167,94.38286528239983
63,5.581659257471068,94.41834074252893
64,5.551744197691389,94.44825580230861
65,5.533733173598563,94.46626682640144
66,5.498110902583122,94.50188909741688
67,5.46760077797094,94.53239922202906
68,5.445268904829535,94.55473109517047
69,5.421575357583918,94.57842464241608
70,5.407928110661718,94.59207188933829
71,5.376726526345586,94.62327347365441
72,5.356566848606227,94.64343315139378
73,5.3349028121612045,94.6650971878388
74,5.3112358870832415,94.68876411291676
75,5.286734423188704,94.7132655768113
76,5.270518253942863,94.72948174605713
77,5.262540067040105,94.7374599329599
78,5.224394815556188,94.7756051844438
79,5.205247393497798,94.7947526065022
80,5.182436000716581,94.81756399928342
81,5.155457615215566,94.84454238478443
82,5.14519427220042,94.85480572779959
83,5.1175761159379665,94.88242388406204
84,5.097679279929373,94.90232072007063
85,5.079052191894201,94.92094780810581
86,5.045544716738677,94.95445528326132
87,5.028477369349579,94.97152263065041
88,5.017858644235322,94.98214135576468
89,4.998492877758761,95.00150712224124
90,4.978688710384742,95.02131128961526
91,4.953043228513441,95.04695677148656
92,4.934380670216311,95.06561932978369
93,4.9214209688239805,95.07857903117602
94,4.893885928835369,95.10611407116463
95,4.885810145008309,95.1141898549917
96,4.857499171733653,95.14250082826635
97,4.84614582329181,95.15385417670818
98,4.821294105620585,95.1787058943794
99,4.806687930391634,95.19331206960837
